[2025-04-26 19:58:56] 19:58:56 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:36572 -> 40.71.11.167:443 | SYN
[2025-04-26 19:58:57] 19:58:57 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:46882 -> 169.254.169.254:80 | SYN
[2025-04-26 19:58:58] 19:58:58 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:46882 -> 169.254.169.254:80 | SYN
[2025-04-26 19:58:59] 19:58:59 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:46888 -> 169.254.169.254:80 | SYN
[2025-04-26 19:59:00] 19:59:00 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:33310 -> 20.189.172.76:443 | SYN
[2025-04-26 19:59:00] 19:59:00 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:46888 -> 169.254.169.254:80 | SYN
[2025-04-26 19:59:00] 19:59:00 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44350 -> 20.201.28.148:443 | SYN
[2025-04-26 19:59:01] 19:59:01 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:46892 -> 169.254.169.254:80 | SYN
[2025-04-26 19:59:02] 19:59:02 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:33314 -> 20.189.172.76:443 | SYN
[2025-04-26 19:59:02] 19:59:02 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:46892 -> 169.254.169.254:80 | SYN
[2025-04-26 19:59:03] 19:59:03 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:60674 -> 52.168.112.67:443 | SYN
[2025-04-26 19:59:03] 19:59:03 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:33320 -> 20.189.172.76:443 | SYN
[2025-04-26 19:59:15] 19:59:15 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:57020 -> 140.82.112.22:443 | SYN
