[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33178 -> 157.249.81.141:443 | SYN
[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:51834 -> 216.239.34.157:443 | SYN
[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37758 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37760 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:51846 -> 216.239.34.157:443 | SYN
[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37762 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37778 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37782 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:53] 19:37:53 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37788 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37022 -> 172.217.29.170:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54142 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54158 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54166 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54172 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54188 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54194 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37794 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:54] 19:37:54 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:37782 -> 146.112.41.2:443 | SYN
[2025-04-28 19:37:55] 19:37:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33206 -> 172.217.29.161:443 | SYN
[2025-04-28 19:37:55] 19:37:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54194 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:55] 19:37:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54172 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:55] 19:37:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54166 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:55] 19:37:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:54142 -> 144.22.135.178:443 | SYN
[2025-04-28 19:37:55] 19:37:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:46296 -> 172.217.162.163:443 | SYN
[2025-04-28 19:37:55] 19:37:55 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:46308 -> 172.217.162.163:443 | SYN
