[2025-04-23 12:15:41] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:46696 | Possível SYN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:46690 | Possível SYN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:46712 | Possível SYN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:46696 | Possível FIN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 192.7.0.42:46696 -> 13.107.5.93:443 | Possível FIN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:46712 | Possível FIN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 192.7.0.42:46712 -> 13.107.5.93:443 | Possível FIN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 192.7.0.42:44954 -> 13.107.5.93:443 | Possível SYN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44954 | Possível SYN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 192.7.0.42:44956 -> 13.107.5.93:443 | Possível SYN
[2025-04-23 12:15:41] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44956 | Possível SYN
[2025-04-23 12:15:42] eth:ethertype:ip:tcp 192.7.0.42:44960 -> 13.107.5.93:443 | Possível SYN
[2025-04-23 12:15:42] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44960 | Possível SYN
[2025-04-23 12:15:42] eth:ethertype:ip:tcp 192.7.0.42:44976 -> 13.107.5.93:443 | Possível SYN
[2025-04-23 12:15:42] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44976 | Possível SYN
[2025-04-23 12:15:43] eth:ethertype:ip:tcp 192.7.0.42:44992 -> 13.107.5.93:443 | Possível SYN
[2025-04-23 12:15:43] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44992 | Possível SYN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 192.7.0.42:46690 -> 13.107.5.93:443 | Possível FIN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 192.7.0.42:40204 -> 20.189.172.73:443 | Possível SYN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:46690 | Possível FIN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 20.189.172.73:443 -> 192.7.0.42:40204 | Possível SYN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 192.7.0.42:44956 -> 13.107.5.93:443 | Possível FIN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 192.7.0.42:44954 -> 13.107.5.93:443 | Possível FIN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 192.7.0.42:40218 -> 20.189.172.73:443 | Possível SYN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 192.7.0.42:40226 -> 20.189.172.73:443 | Possível SYN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44956 | Possível FIN
[2025-04-23 12:15:45] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44954 | Possível FIN
[2025-04-23 12:15:46] eth:ethertype:ip:tcp 20.189.172.73:443 -> 192.7.0.42:40218 | Possível SYN
[2025-04-23 12:15:46] eth:ethertype:ip:tcp 20.189.172.73:443 -> 192.7.0.42:40226 | Possível SYN
[2025-04-23 12:15:46] eth:ethertype:ip:tcp 192.7.0.42:40204 -> 20.189.172.73:443 | Possível FIN
[2025-04-23 12:15:46] eth:ethertype:ip:tcp 192.7.0.42:40218 -> 20.189.172.73:443 | Possível FIN
[2025-04-23 12:15:46] eth:ethertype:ip:tcp 192.7.0.42:40226 -> 20.189.172.73:443 | Possível FIN
[2025-04-23 12:15:47] eth:ethertype:ip:tcp 192.7.0.42:44960 -> 13.107.5.93:443 | Possível FIN
[2025-04-23 12:15:47] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44960 | Possível FIN
[2025-04-23 12:15:47] eth:ethertype:ip:tcp 192.7.0.42:44976 -> 13.107.5.93:443 | Possível FIN
[2025-04-23 12:15:47] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44976 | Possível FIN
[2025-04-23 12:15:47] eth:ethertype:ip:tcp 192.7.0.42:44992 -> 13.107.5.93:443 | Possível FIN
[2025-04-23 12:15:47] eth:ethertype:ip:tcp 13.107.5.93:443 -> 192.7.0.42:44992 | Possível FIN
[2025-04-23 12:15:47] eth:ethertype:ip:tcp 192.7.0.42:47390 -> 20.201.28.148:443 | Possível SYN
[2025-04-23 12:15:48] eth:ethertype:ip:tcp 20.201.28.148:443 -> 192.7.0.42:47390 | Possível SYN
[2025-04-23 12:15:48] eth:ethertype:ip:tcp 192.7.0.42:40230 -> 20.189.172.73:443 | Possível SYN
[2025-04-23 12:15:48] eth:ethertype:ip:tcp 192.7.0.42:40232 -> 20.189.172.73:443 | Possível SYN
[2025-04-23 12:15:49] eth:ethertype:ip:tcp 20.189.172.73:443 -> 192.7.0.42:40230 | Possível SYN
